gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary,tissue_specificity,housekeeping
BST2,7,B,2,,204.7,YES,19,"ZN2+, PB2+, ETHYLISOPROPYLAMILORIDE",,,,0,,"Overexpressed (205 TPM, p99) | Surface protein (HPA) | Druggable (19 drugs)",Tissue enhanced,False
CAMK2D,7,B,2,,385.4,YES,14,"SNS-314, GEFITINIB, ILORASERTIB",,,,0,,"Overexpressed (385 TPM, p100) | Surface protein (HPA) | Druggable (14 drugs)",Tissue enhanced,False
CD109,7,B,2,YES,204.4,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (204 TPM, p99) | Surface protein (HPA)",Tissue enriched,False
CD163,7,B,2,,1232.2,YES,2,"THERAPEUTIC GLUCOCORTICOID, FLUTICASONE",,,,0,,"Overexpressed (1232 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enhanced,False
COL6A2,7,B,2,,184.8,YES,3,"COLLAGENASE CLOSTRIDIUM HISTOLYTICUM, OCRIPLASMIN, ESI-09",,,,0,,"Overexpressed (185 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,False
CSPG4,7,B,2,,181.3,YES,5,"LEUCOVORIN CALCIUM, ALTEPLASE, IRINOTECAN HYDROCHLORIDE",,,,0,,"Overexpressed (181 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs)",Tissue enhanced,False
CTSK,7,B,2,,185.6,YES,7,"MIV-701, RELACATIB, ONO-5334",,,,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA) | Druggable (7 drugs)",Tissue enhanced,False
CYBB,7,B,2,,230.9,YES,5,"COMPOUND 14N [PMID: 25589934], APIGENIN, SANOFI-14H",,,,0,,"Overexpressed (231 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs)",Tissue enhanced,False
DPYSL2,7,B,2,,196.3,YES,40,"LACOSAMIDE, DERAZANTINIB, COMPOUND 29 [PMID: 36356320]",,,,0,,"Overexpressed (196 TPM, p99) | Surface protein (HPA) | Druggable (40 drugs)",Tissue enhanced,False
EDNRA,7,B,2,,514.2,YES,23,"NEBENTAN, ATRASENTAN, TBC-3711",,,,0,,"Overexpressed (514 TPM, p100) | Surface protein (HPA) | Druggable (23 drugs)",Tissue enhanced,False
EFR3A,7,B,2,,350.6,YES,2,"ASPIRIN, CLOPIDOGREL",,,,0,,"Overexpressed (351 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enhanced,False
EMP1,7,B,2,,176.6,YES,5,"COMPOUND 20 [PMID: 30998356], COMPOUND 1A [PMID: 24900749], GEFITINIB",,,,0,,"Overexpressed (177 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs)",Tissue enhanced,False
ENPEP,7,B,2,,195.5,YES,4,"FIRIBASTAT, QGC-001, SGI-1776",,,,0,,"Overexpressed (196 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)",Tissue enhanced,False
EPB41L2,7,B,2,,607.3,YES,1,HSL119,,,,0,,"Overexpressed (607 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
EPS8,7,B,2,,171.8,YES,21,"PF-06447475, GSK2646264, URMC-099",,,,0,,"Overexpressed (172 TPM, p99) | Surface protein (HPA) | Druggable (21 drugs)",Low tissue specificity,False
FBN1,7,B,2,,372.6,YES,2,"RN486, DANUSERTIB",,,,0,,"Overexpressed (373 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enhanced,False
GALNT3,7,B,2,,244.7,YES,2,"GSK-264220A, COMPOUND 12 [PMID: 31990537]",,,,0,,"Overexpressed (245 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enhanced,False
GJA1,7,B,2,,991.1,YES,11,"SELENIUM, CARVEDILOL, PROPYLTHIOURACIL",,,,0,,"Overexpressed (991 TPM, p100) | Surface protein (HPA) | Druggable (11 drugs)",Low tissue specificity,False
GPNMB,7,B,2,,707.2,YES,2,"GLEMBATUMUMAB, GLEMBATUMUMAB VEDOTIN",,,,0,,"Overexpressed (707 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enhanced,False
GPR34,7,B,2,,362.6,YES,3,"AMG28, APILIMOD, COMPOUND 17 [PMID: 36111834]",,,,0,,"Overexpressed (363 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)",Tissue enhanced,False
HIPK2,7,B,2,,224.0,YES,15,"ILORASERTIB, BAY 61-3606, TAMATINIB",,,,0,,"Overexpressed (224 TPM, p99) | Surface protein (HPA) | Druggable (15 drugs)",Tissue enriched,False
HLA-E,7,B,2,,348.0,YES,6,"ETANERCEPT, CEDAZURIDINE, METHOTREXATE",,,,0,,"Overexpressed (348 TPM, p100) | Surface protein (HPA) | Druggable (6 drugs)",Low tissue specificity,False
HSP90B1,7,B,2,,241.3,YES,1,VIAGENPUMATUCEL-L,,,,0,,"Overexpressed (241 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
HSPA1A,7,B,2,,3420.0,YES,4,"CD24FC, CARBAMAZEPINE, AG-858",,,,0,,"Overexpressed (3420 TPM, p100) | Surface protein (HPA) | Druggable (4 drugs)",Low tissue specificity,False
HTRA1,7,B,2,,515.9,YES,2,"GALEGENIMAB, HYDROGEN PEROXIDE",,,,0,,"Overexpressed (516 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enhanced,False
ITGA2,7,B,2,,277.7,YES,2,"E-7820, VATELIZUMAB",,,,0,,"Overexpressed (278 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,False
ITGB5,7,B,2,,353.3,YES,4,"CILENGITIDE, INTETUMUMAB, ABITUZUMAB",,,,0,,"Overexpressed (353 TPM, p100) | Surface protein (HPA) | Druggable (4 drugs)",Tissue enhanced,False
KCNJ2,7,B,2,,185.5,YES,1,DRONEDARONE HYDROCHLORIDE,,,,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
KCNK2,7,B,2,,182.5,YES,6,"SEVOFLURANE, ISOFLURANE, ENFLURANE",,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA) | Druggable (6 drugs)",Tissue enriched,False
LAMA4,7,B,2,,491.8,YES,1,OCRIPLASMIN,,,,0,,"Overexpressed (492 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
LAMC1,7,B,2,,390.4,YES,1,OCRIPLASMIN,,,,0,,"Overexpressed (390 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
LGALS3,7,B,2,,221.2,YES,4,"OLITIGALTIN, DAVANAT, BELAPECTIN",,,,0,,"Overexpressed (221 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)",Tissue enhanced,False
LIPA,7,B,2,,217.3,YES,6,"THERAPEUTIC HORMONE, SEBELIPASE ALFA, LOVASTATIN",,,,0,,"Overexpressed (217 TPM, p99) | Surface protein (HPA) | Druggable (6 drugs)",Tissue enhanced,False
LPAR1,7,B,2,,565.6,YES,4,"BMS-986202, SAR100842, BMS-986020",,,,0,,"Overexpressed (566 TPM, p100) | Surface protein (HPA) | Druggable (4 drugs)",Tissue enriched,False
LRP1,7,B,2,,1276.9,YES,3,"WARFARIN, ANG1005, ANTISENSE OLIGONUCLEOTIDES",,,,0,,"Overexpressed (1277 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)",Tissue enhanced,False
MAOB,7,B,2,,210.8,YES,33,"SAFINAMIDE, LEVODOPA, MOCLOBEMIDE",,,,0,,"Overexpressed (211 TPM, p99) | Surface protein (HPA) | Druggable (33 drugs)",Tissue enhanced,False
MSR1,7,B,2,,166.1,YES,1,H2O2,,,,0,,"Overexpressed (166 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enriched,False
NDUFA1,7,B,2,,866.3,YES,3,"NV-128, METFORMIN HYDROCHLORIDE, ME-344",,,,0,,"Overexpressed (866 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)",Tissue enhanced,False
P4HB,7,B,2,,251.1,YES,11,"LOMITAPIDE MESYLATE, LIQUIRITIN, ASTRAGALIN",,,,0,,"Overexpressed (251 TPM, p99) | Surface protein (HPA) | Druggable (11 drugs)",Tissue enhanced,False
PAK1,7,B,2,,184.1,YES,10,"MLN-8054, CENISERTIB, NVP-TAE684",,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA) | Druggable (10 drugs)",Tissue enhanced,False
PANX3,7,B,2,,2089.5,YES,2,"CARBENOXOLONE, FLUFENAMIC ACID",,,,0,,"Overexpressed (2090 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Not detected,False
PDGFC,7,B,2,,328.2,YES,1,SUNITINIB,,,,0,,"Overexpressed (328 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
PECAM1,7,B,2,,163.3,YES,1,RESVERATROL,,,,0,,"Overexpressed (163 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
PHOSPHO1,7,B,2,,250.6,YES,2,"LANSOPRAZOLE, EBSELEN",,,,0,,"Overexpressed (251 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enriched,False
PIP4K2A,7,B,2,,166.5,YES,1,FLUPIRTINE MALEATE,,,,0,,"Overexpressed (166 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
PKD2,7,B,2,,225.8,YES,1,ALLOPURINOL,,,,0,,"Overexpressed (226 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
PRDX4,7,B,2,,243.7,YES,1,DOCETAXEL ANHYDROUS,,,,0,,"Overexpressed (244 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enriched,False
PRNP,7,B,2,,456.6,YES,1,BREFELDIN A,,,,0,,"Overexpressed (457 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
PTH1R,7,B,2,,695.5,YES,12,"9-AMINOCAMPTOTHECIN, PARATHYROID HORMONE, ABALOPARATIDE",,,,0,,"Overexpressed (696 TPM, p100) | Surface protein (HPA) | Druggable (12 drugs)",Tissue enriched,False
PTPRZ1,7,B,2,,271.3,YES,3,"TETRADECANOYLPHORBOL ACETATE, TRETINOIN, VITAMIN D",,,,0,,"Overexpressed (271 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)",Tissue enriched,False
S100A10,7,B,2,,1055.3,YES,2,"DEXAMETHASONE, THERAPEUTIC GONADOTROPIN",,,,0,,"Overexpressed (1055 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enhanced,False
SDC2,7,B,2,,381.3,YES,1,HEPARAN SULFATE,,,,0,,"Overexpressed (381 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
SGPP1,7,B,2,,161.1,YES,1,SONEPCIZUMAB,,,,0,,"Overexpressed (161 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,False
SLC38A4,7,B,2,,252.2,YES,2,"GLYCINE, ALANINE",,,,0,,"Overexpressed (252 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)",Tissue enriched,False
STK17A,7,B,2,,198.0,YES,16,"AZD-1080, CYC-116, RG-1530",,,,0,,"Overexpressed (198 TPM, p99) | Surface protein (HPA) | Druggable (16 drugs)",Low tissue specificity,False
TGFB1,7,B,2,,389.8,YES,59,"INTERFERON ALFA-2B, PIOGLITAZONE HYDROCHLORIDE, SILYMARIN",,,,0,,"Overexpressed (390 TPM, p100) | Surface protein (HPA) | Druggable (59 drugs)",Low tissue specificity,False
TXN,7,B,2,,210.4,YES,4,"GAMBOGENIC ACID, PX-12, GAMBOGIC ACID",,,,0,,"Overexpressed (210 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)",Tissue enhanced,False
UGCG,7,B,2,,269.7,YES,10,"VENGLUSTAT, PRALICIGUAT, ADRIAMYCIN",,,,0,,"Overexpressed (270 TPM, p99) | Surface protein (HPA) | Druggable (10 drugs)",Tissue enhanced,False
XBP1,7,B,2,,170.5,YES,11,"ANGUSTIBALIN, PROTOAPIGENONE, DITHIAZANINE IODIDE",,,,0,,"Overexpressed (170 TPM, p98) | Surface protein (HPA) | Druggable (11 drugs)",Tissue enhanced,False
YBX1,7,B,2,,293.7,YES,1,ABIRATERONE ACETATE,,,,0,,"Overexpressed (294 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Tissue enhanced,False
PRKCB,6,B,4,YES,3.2,,16,"RUBOXISTAURIN, CEP-2563 DIHYDROCHLORIDE, QUERCETIN",D,,,0,,"Mutated (MODERATE) | Expressed (3 TPM) | Druggable (16 drugs) | CIViC (1 items, levels D) | COSMIC (nan)",Tissue enhanced,False
BMP1,6,B,3,YES,85.5,,1,COMPOUND 2 [PMID: 11934595],,,,0,,"Mutated (MODERATE) | Overexpressed (86 TPM, p96) | Druggable (1 drugs)",Low tissue specificity,False
COL4A2,6,B,3,YES,83.0,,3,"OCRIPLASMIN, COLLAGENASE CLOSTRIDIUM HISTOLYTICUM, NAVOXIMOD",,,,0,,"Mutated (MODERATE) | Overexpressed (83 TPM, p96) | Druggable (3 drugs)",Tissue enhanced,False
EVC,6,B,2,YES,36.8,YES,1,COMPOUND 22 [PMID: 20462760],,,,0,,Mutated (HIGH) | Expressed (37 TPM) | Surface protein (HPA) | Druggable (1 drugs),Low tissue specificity,False
FAT3,6,B,2,,192.1,YES,0,,,,,0,,"Overexpressed (192 TPM, p99) | Surface protein (HPA) | COSMIC (nan)",Tissue enhanced,False
FAT4,6,B,2,,204.5,YES,0,,,,TSG,0,,"Overexpressed (204 TPM, p99) | Surface protein (HPA) | COSMIC (TSG)",Low tissue specificity,False
IL1RL2,6,B,2,YES,3.2,YES,3,"IMSIDOLIMAB, SPESOLIMAB, SPESOLIMAB",,,,0,,Mutated (HIGH) | Expressed (3 TPM) | Surface protein (HPA) | Druggable (3 drugs),Tissue enhanced,False
LPP,6,B,2,,175.6,YES,0,,,,"oncogene, fusion",0,,"Overexpressed (176 TPM, p99) | Surface protein (HPA) | COSMIC (oncogene, fusion)",Tissue enhanced,False
MLLT10,6,B,2,,157.6,YES,0,,,,"oncogene, fusion",0,,"Overexpressed (158 TPM, p98) | Surface protein (HPA) | COSMIC (oncogene, fusion)",Tissue enhanced,False
MYH9,6,B,2,,332.3,YES,0,,,,"TSG, fusion",0,,"Overexpressed (332 TPM, p99) | Surface protein (HPA) | COSMIC (TSG, fusion)",Tissue enhanced,False
NR2F2,5,B,3,YES,28.4,,3,"PYRIDABEN, RESACTIN A, CYCLOHEXIMIDE",,,,0,,Mutated (MODERATE) | Expressed (28 TPM) | Druggable (3 drugs) | COSMIC (nan),Low tissue specificity,False
ACE,5,B,2,YES,3.0,YES,59,"SALVIANOLIC ACID B, CANDOXATRIL, CILAZAPRIL",,,,0,,Mutated (MODERATE) | Expressed (3 TPM) | Surface protein (HPA) | Druggable (59 drugs),Tissue enhanced,False
ATP1A2,5,B,2,YES,0.3,YES,7,"OLANZAPINE, DESLANOSIDE, DIGITOXIN",,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (7 drugs),Group enriched,False
CNTRL,5,B,2,YES,20.2,YES,0,,,,fusion,0,,Mutated (HIGH) | Expressed (20 TPM) | Surface protein (HPA) | COSMIC (fusion),Tissue enhanced,False
DAB2IP,5,B,2,YES,68.0,,0,,,,,0,,"Mutated (HIGH) | Overexpressed (68 TPM, p95)",Tissue enhanced,False
DBH,5,B,2,YES,1.2,YES,15,"ETAMICASTAT, DISULFIRAM, SUMATRIPTAN",,,,0,,Mutated (MODERATE) | Expressed (1 TPM) | Surface protein (HPA) | Druggable (15 drugs),Tissue enriched,False
DOT1L,5,B,2,YES,29.7,,1,CANDESARTAN CILEXETIL,,,,0,,Mutated (HIGH) | Expressed (30 TPM) | Druggable (1 drugs),Tissue enhanced,False
DRD1,5,B,2,YES,0.4,YES,187,"PEXIDARTINIB, PROPIOMAZINE, LINIFANIB",,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (187 drugs),Group enriched,False
KCNH4,5,B,2,YES,0.5,YES,6,"NERISPIRDINE, AMIFAMPRIDINE PHOSPHATE, AMIFAMPRIDINE",,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (6 drugs),Tissue enriched,False
LY75,5,B,2,YES,2.3,YES,1,RASDEGAFUSP ALFA,,,,0,,Mutated (MODERATE) | Expressed (2 TPM) | Surface protein (HPA) | Druggable (1 drugs),Tissue enriched,False
NLGN1,5,B,2,YES,3.6,YES,1,FLUOROURACIL,,,,0,,Mutated (MODERATE) | Expressed (4 TPM) | Surface protein (HPA) | Druggable (1 drugs),Tissue enhanced,False
NTF3,5,B,2,YES,1.7,,26,"ALTEPLASE, RISPERIDONE, NALOXONE HYDROCHLORIDE",,,,0,,Mutated (HIGH) | Expressed (2 TPM) | Druggable (26 drugs),Tissue enhanced,False
OR10P1,5,B,2,YES,,YES,2,"METOPROLOL, ATENOLOL",,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (2 drugs),Not detected,False
RUNX2,5,B,2,,1142.6,,1,ANTISENSE OLIGONUCLEOTIDES,,,,0,YES,"Overexpressed (1143 TPM, p100) | Druggable (1 drugs) | Known Osteosarcoma driver",Low tissue specificity,False
XPNPEP2,5,B,2,YES,,YES,1,TOSEDOSTAT,,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (1 drugs),Group enriched,False
